23, 23, 21, 19, 17, 15, 13, 11, 9, 7, 5, 1, 3, 5, 7, 9, 11, 13, 10, 8, 6, 4, 99999999, 20, 18, 16, 14, 12, 10, 8, 6, 4, 2, 20, 18, 16, 14, 12, 10, 8, 6, 4, 22, 20, 18, 16, 14, 12, 10, 8, 6, 24, 22, 20, 18, 16, 14, 12, 10, 8, 26, 24, 22, 20, 18, 16, 14, 12, 10, 28, 26, 24, 22, 20, 18, 16, 14, 12, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 28, 26, 
7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 12, 14, 16, 18, 20, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 20, 4, 6, 8, 10, 12, 14, 16, 18, 20, 6, 8, 10, 12, 14, 16, 18, 20, 22, 8, 10, 12, 14, 16, 18, 20, 22, 24, 10, 12, 14, 16, 18, 20, 22, 24, 26, 12, 14, 16, 18, 20, 22, 24, 26, 28, 14, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 20, 22, 
9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 10, 12, 14, 16, 18, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 18, 2, 4, 6, 8, 10, 12, 14, 16, 18, 4, 6, 8, 10, 12, 14, 16, 18, 20, 6, 8, 10, 12, 14, 16, 18, 20, 22, 8, 10, 12, 14, 16, 18, 20, 22, 24, 10, 12, 14, 16, 18, 20, 22, 24, 26, 16, 14, 12, 14, 16, 18, 20, 22, 24, 26, 28, 18, 20, 
11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 8, 10, 12, 14, 16, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 16, 4, 2, 4, 6, 8, 10, 12, 14, 16, 6, 4, 6, 8, 10, 12, 14, 16, 18, 8, 6, 8, 10, 12, 14, 16, 18, 20, 10, 8, 10, 12, 14, 16, 18, 20, 22, 12, 10, 12, 14, 16, 18, 20, 22, 24, 18, 16, 14, 12, 14, 16, 18, 20, 22, 24, 26, 16, 18, 
13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 6, 8, 10, 12, 14, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 14, 6, 4, 2, 4, 6, 8, 10, 12, 14, 8, 6, 4, 6, 8, 10, 12, 14, 16, 10, 8, 6, 8, 10, 12, 14, 16, 18, 12, 10, 8, 10, 12, 14, 16, 18, 20, 14, 12, 10, 12, 14, 16, 18, 20, 22, 20, 18, 16, 14, 12, 14, 16, 18, 20, 22, 24, 14, 16, 
15, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 4, 6, 8, 10, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 12, 8, 6, 4, 2, 4, 6, 8, 10, 12, 10, 8, 6, 4, 6, 8, 10, 12, 14, 12, 10, 8, 6, 8, 10, 12, 14, 16, 14, 12, 10, 8, 10, 12, 14, 16, 18, 16, 14, 12, 10, 12, 14, 16, 18, 20, 22, 20, 18, 16, 14, 12, 14, 16, 18, 20, 22, 16, 14, 
17, 15, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 2, 4, 6, 8, 10, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 10, 10, 8, 6, 4, 2, 4, 6, 8, 10, 12, 10, 8, 6, 4, 6, 8, 10, 12, 14, 12, 10, 8, 6, 8, 10, 12, 14, 16, 14, 12, 10, 8, 10, 12, 14, 16, 18, 16, 14, 12, 10, 12, 14, 16, 18, 24, 22, 20, 18, 16, 14, 12, 14, 16, 18, 20, 18, 16, 
19, 17, 15, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 4, 2, 4, 6, 8, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 8, 12, 10, 8, 6, 4, 2, 4, 6, 8, 14, 12, 10, 8, 6, 4, 6, 8, 10, 16, 14, 12, 10, 8, 6, 8, 10, 12, 18, 16, 14, 12, 10, 8, 10, 12, 14, 20, 18, 16, 14, 12, 10, 12, 14, 16, 26, 24, 22, 20, 18, 16, 14, 12, 14, 16, 18, 20, 18, 
21, 19, 17, 15, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 19, 6, 4, 2, 4, 6, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 6, 14, 12, 10, 8, 6, 4, 2, 4, 6, 16, 14, 12, 10, 8, 6, 4, 6, 8, 18, 16, 14, 12, 10, 8, 6, 8, 10, 20, 18, 16, 14, 12, 10, 8, 10, 12, 22, 20, 18, 16, 14, 12, 10, 12, 14, 28, 26, 24, 22, 20, 18, 16, 14, 12, 14, 16, 22, 20, 
23, 21, 19, 17, 15, 13, 11, 9, 7, 5, 3, 5, 7, 9, 11, 13, 15, 17, 8, 6, 4, 2, 4, 18, 16, 14, 12, 10, 8, 6, 4, 99999999, 4, 16, 14, 12, 10, 8, 6, 4, 2, 4, 18, 16, 14, 12, 10, 8, 6, 4, 6, 20, 18, 16, 14, 12, 10, 8, 6, 8, 22, 20, 18, 16, 14, 12, 10, 8, 10, 24, 22, 20, 18, 16, 14, 12, 10, 12, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 14, 24, 22, 
